Code;Title;Vintage;Size;ABV;Style;Country;Group;Available;Price (inc VAT);Price (ex-VAT);Link
HED34799;Massandra White Port 1944;1944;75cl;17.9;White;Ukraine;Ukraine;27;388;323.33;https://hedonism.co.uk/product/massandra-white-port-1944
HED34800;Massandra South Coast White Port 1944;1944;75cl;17.3;White;Ukraine;Ukraine;52;412;343.33;https://hedonism.co.uk/product/massandra-south-coast-white-port-1944
HED34836;Massandra South Coast White Muscat 1944;1944;75cl;12;White;Ukraine;Ukraine;3;562;468.33;https://hedonism.co.uk/product/massandra-south-coast-white-muscat-1944
HED0608;Mouton Rothschild 1945;1945;75cl;12.5;Red;France;Bordeaux;1;16000;13333.33;https://hedonism.co.uk/product/mouton-rothschild-1945
HED86707;Massandra South Coast Red Port 1945;1945;75cl;17.4;Red;Ukraine;Ukraine;1;330;275;https://hedonism.co.uk/product/massandra-south-coast-red-port-1945
HED90197;Barolo Giacomo Conterno 1945;1945;75cl;13.5;Red;Italy;Italy;1;928;773.33;https://hedonism.co.uk/product/barolo-giacomo-conterno-1945
HED98375;Pichon Lalande 1945;1945;75cl;13;Red;France;Bordeaux;1;800;666.67;https://hedonism.co.uk/product/pichon-lalande-1945
HED70680;Massandra Madeira 1945;1945;75cl;19.1;White;Ukraine;Ukraine;11;421;350.83;https://hedonism.co.uk/product/massandra-madeira-1945
HED85552;Massandra White Muscat 1945;1945;75cl;11.9;White;Ukraine;Ukraine;41;400;333.33;https://hedonism.co.uk/product/massandra-white-muscat-1945
HED33125;Massandra Pedro Ximenez 1945;1945;75cl;15;White;Ukraine;Ukraine;7;316;263.33;https://hedonism.co.uk/product/massandra-pedro-ximenez-1945
HED34801;Massandra White Port 1945;1945;75cl;18.5;White;Ukraine;Ukraine;42;402;335;https://hedonism.co.uk/product/massandra-white-port-1945
HED89532;Massandra Madeira 1946;1946;75cl;19.9;Red;Ukraine;Ukraine;16;385;320.83;https://hedonism.co.uk/product/massandra-madeira-1946
HED34829;Massandra South Coast Kagor 1946;1946;75cl;16;Red;Ukraine;Ukraine;25;478;398.33;https://hedonism.co.uk/product/massandra-south-coast-kagor-1946
HED34839;Massandra Red Port Krymwein 1946;1946;75cl;20;Red;Ukraine;Ukraine;23;772;643.33;https://hedonism.co.uk/product/massandra-red-port-krymwein-1946
HED34802;Massandra South Coast White Port 1946;1946;75cl;20;White;Ukraine;Ukraine;3;865;720.83;https://hedonism.co.uk/product/massandra-south-coast-white-port-1946
HED34826;Massandra Red Stone White Muscat 1946;1946;75cl;12;White;Ukraine;Ukraine;1;598;498.33;https://hedonism.co.uk/product/massandra-red-stone-white-muscat-1946
HED34837;Massandra South Coast Tokay 1946;1946;75cl;15.5;White;Ukraine;Ukraine;4;512;426.67;https://hedonism.co.uk/product/massandra-south-coast-tokay-1946
HED34838;Massandra Surozh White Port 1946;1946;75cl;20;White;Ukraine;Ukraine;63;388;323.33;https://hedonism.co.uk/product/massandra-surozh-white-port-1946
HED34842;Massandra Alushta White Port 1946;1946;75cl;20;White;Ukraine;Ukraine;9;388;323.33;https://hedonism.co.uk/product/massandra-alushta-white-port-1946
HED98376;Latour 1947;1947;75cl;13;Red;France;Bordeaux;1;1750;1458.33;https://hedonism.co.uk/product/latour-1947
HED34138;Massandra Madeira 1947;1947;100cl;19.5;White;Ukraine;Ukraine;16;882;735;https://hedonism.co.uk/product/massandra-madeira-1947
HED37775;Pommery Vintage Magnum 1947;1947;150cl;12;White;France;Champagne;1;1700;1416.67;https://hedonism.co.uk/product/pommery-vintage-magnum-1947
HED34816;Massandra Alushta Red Port 1948;1948;75cl;20;Red;Ukraine;Ukraine;14;488;406.67;https://hedonism.co.uk/product/massandra-alushta-red-port-1948
HED34817;Massandra Red Port 1948;1948;75cl;20;Red;Ukraine;Ukraine;12;412;343.33;https://hedonism.co.uk/product/massandra-red-port-1948
HED62499;Massandra White Cabernet Sauvignon (Sotheby`s Release) 1948;1948;75cl;13;White;Ukraine;Ukraine;7;404;336.67;https://hedonism.co.uk/product/massandra-white-cabernet-sauvignon-sothebys-release-1948
HED66589;Legend Rivesaltes Gerard Bertrand (Ex Domaine) 1948;1948;75cl;18.5;White;France;Regional France;8;271;225.83;https://hedonism.co.uk/product/legend-rivesaltes-gerard-bertrand-ex-domaine-1948
HED34840;Massandra South Coast White Port 1948;1948;75cl;20;White;Ukraine;Ukraine;28;872;726.67;https://hedonism.co.uk/product/massandra-south-coast-white-port-1948
HED0438;Lafite Rothschild 1949;1949;75cl;12.5;Red;France;Bordeaux;1;1200;1000;https://hedonism.co.uk/product/lafite-rothschild-1949
HED34370;Mouton Rothschild (Low Fill) 1949;1949;75cl;12.5;Red;France;Bordeaux;1;2540;2116.67;https://hedonism.co.uk/product/mouton-rothschild-low-fill-1949
HED34818;Massandra Red Port 1949;1949;75cl;20;Red;Ukraine;Ukraine;1;668;556.67;https://hedonism.co.uk/product/massandra-red-port-1949
HED66599;Legend Rivesaltes Gerard Bertrand (Ex Domaine) 1949;1949;75cl;16.5;White;France;Regional France;2;257;214.17;https://hedonism.co.uk/product/legend-rivesaltes-gerard-bertrand-ex-domaine-1949
HED34832;Massandra South Coast Kagor 1950;1950;75cl;16;Red;Ukraine;Ukraine;25;432;360;https://hedonism.co.uk/product/massandra-south-coast-kagor-1950
HED2265;Yquem 1950;1950;75cl;14;White;France;Sauternes & Barsac;2;1550;1291.67;https://hedonism.co.uk/product/yquem-1950
HED34820;Massandra Surozh Kokur Dessert 1950;1950;75cl;16.1;White;Ukraine;Ukraine;12;488;406.67;https://hedonism.co.uk/product/massandra-surozh-kokur-dessert-1950
HED34821;Massandra Alushta Madeira 1950;1950;75cl;17;White;Ukraine;Ukraine;5;332;276.67;https://hedonism.co.uk/product/massandra-alushta-madeira-1950
HED34831;Massandra South Coast Tokay 1950;1950;75cl;15.5;White;Ukraine;Ukraine;9;498;415;https://hedonism.co.uk/product/massandra-south-coast-tokay-1950
HED34843;Massandra Kastel Muscat 1950;1950;75cl;12;White;Ukraine;Ukraine;4;512;426.67;https://hedonism.co.uk/product/massandra-kastel-muscat-1950
HED39495;Savigny Dominaudes Champy 1951;1951;75cl;12.5;Red;France;Burgundy;2;117;97.5;https://hedonism.co.uk/product/savigny-dominaudes-champy-1951
HED34139;Massandra Kokur 1951;1951;100cl;15.35;White;Ukraine;Ukraine;16;700;583.33;https://hedonism.co.uk/product/massandra-kokur-1951
HED65180;Lafite Rothschild 1952;1952;75cl;12.5;Red;France;Bordeaux;4;800;666.67;https://hedonism.co.uk/product/lafite-rothschild-1952
HED68238;Margaux 1952;1952;75cl;12.5;Red;France;Bordeaux;2;1100;916.67;https://hedonism.co.uk/product/margaux-1952
HED37634;Latour 1952;1952;75cl;12;Red;France;Bordeaux;2;700;583.33;https://hedonism.co.uk/product/latour-1952
HED27535;Lafite Rothschild Magnum 1952;1952;150cl;12.5;Red;France;Bordeaux;1;2250;1875;https://hedonism.co.uk/product/lafite-rothschild-magnum-1952
HED83758;Dom Perignon 1952;1952;75cl;12.5;White;France;Champagne;1;1950;1625;https://hedonism.co.uk/product/dom-perignon-1952
HED93078;Krug Vintage 1952;1952;75cl;12;White;France;Champagne;1;2850;2375;https://hedonism.co.uk/product/krug-vintage-1952
HED82202;Mouton Rothschild 1953;1953;75cl;12.5;Red;France;Bordeaux;1;3060;2550;https://hedonism.co.uk/product/mouton-rothschild-1953
HED94822;Montrose 1953;1953;75cl;;Red;France;Bordeaux;1;335;279.17;https://hedonism.co.uk/product/montrose-1953
HED94824;Rauzan Gassies Magnum (Damaged Label) 1953;1953;150cl;;Red;France;Bordeaux;1;339;282.5;https://hedonism.co.uk/product/rauzan-gassies-magnum-damaged-label-1953
HED34822;Massandra South Coast Pink Muscat 1953;1953;75cl;13.5;Rose;Ukraine;Ukraine;4;398;331.67;https://hedonism.co.uk/product/massandra-south-coast-pink-muscat-1953
HED70684;Massandra Red Port 1954;1954;75cl;17.3;Red;Ukraine;Ukraine;2;448;373.33;https://hedonism.co.uk/product/massandra-red-port-1954
HED34823;Massandra Ai-Danil Pinot Gris 1954;1954;75cl;13;White;Ukraine;Ukraine;20;488;406.67;https://hedonism.co.uk/product/massandra-ai-danil-pinot-gris-1954
HED34834;Massandra Gurzuf White Muscat 1954;1954;75cl;12;White;Ukraine;Ukraine;21;552;460;https://hedonism.co.uk/product/massandra-gurzuf-white-muscat-1954-0
HED83842;Taylor`s Vintage 1955;1955;75cl;20;Red;Portugal;Port ;2;550;458.33;https://hedonism.co.uk/product/taylors-vintage-1955
HED31788;Brunello di Montalcino Riserva Biondi-Santi (Low Fill) 1955;1955;75cl;13;Red;Italy;Italy;2;684;570;https://hedonism.co.uk/product/brunello-di-montalcino-riserva-biondi-santi-low-fill-1955
HED34641;Barolo Monfortino Giacomo Conterno 1955;1955;75cl;13.5;Red;Italy;Italy;1;1290;1075;https://hedonism.co.uk/product/barolo-monfortino-giacomo-conterno-1955
HED35575;Pichon Baron 1955;1955;75cl;12.5;Red;France;Bordeaux;18;466;388.33;https://hedonism.co.uk/product/pichon-baron-1955
HED90202;Spanna Montalbano Antonio Vallana 1955;1955;75cl;13;Red;Italy;Italy;3;208;173.33;https://hedonism.co.uk/product/spanna-montalbano-antonio-vallana-1955
HED94823;Lafite Rothschild 1955;1955;75cl;12.5;Red;France;Bordeaux;1;1000;833.33;https://hedonism.co.uk/product/lafite-rothschild-1955
HED62512;Massandra Surozh White Port (Sotheby`s Release) 1955;1955;75cl;17.1;White;Ukraine;Ukraine;9;388;323.33;https://hedonism.co.uk/product/massandra-surozh-white-port-sothebys-release-1955
HED89534;Massandra Madeira 1955;1955;75cl;19.9;White;Ukraine;Ukraine;12;392;326.67;https://hedonism.co.uk/product/massandra-madeira-1955
HED36562;Louis Roederer Vintage 1955;1955;75cl;12;White;France;Champagne;1;892;743.33;https://hedonism.co.uk/product/louis-roederer-vintage-1955
HED74518;Kopke Colheita 1957;1957;75cl;20;Red;Portugal;Port ;6;345;287.5;https://hedonism.co.uk/product/kopke-colheita-1957
HED93715;Gattinara Mario Antoniolo 1957;1957;75cl;13;Red;Italy;Italy;4;52.6;43.83;https://hedonism.co.uk/product/gattinara-mario-antoniolo-1957
HED95430;Spanna Altri Tempi Antonio Vallana 1958;1958;75cl;12;Red;Italy;Italy;5;136;113.33;https://hedonism.co.uk/product/spanna-altri-tempi-antonio-vallana-1958
HED96547;Gattinara Avondo 1958;1958;75cl;12.5;Red;Italy;Italy;1;152;126.67;https://hedonism.co.uk/product/gattinara-avondo-1958
HED98296;Barolo Fontanafredda 1958;1958;75cl;;Red;Italy;Italy;1;130;108.33;https://hedonism.co.uk/product/barolo-fontanafredda-1958
HED34824;Massandra Kastel Muscat 1958;1958;75cl;12;White;Ukraine;Ukraine;3;472;393.33;https://hedonism.co.uk/product/massandra-kastel-muscat-1958
HED34835;Massandra Surozh White Port 1958;1958;75cl;20;White;Ukraine;Ukraine;1;312;260;https://hedonism.co.uk/product/massandra-surozh-white-port-1958
HED34921;Massandra Surozh Kokur Dessert 1958;1958;75cl;16;White;Ukraine;Ukraine;1;432;360;https://hedonism.co.uk/product/massandra-surozh-kokur-dessert-1958
HED62449;Grands Echezeaux Maison Leroy 1959;1959;75cl;13.5;Red;France;Burgundy;1;4430;3691.67;https://hedonism.co.uk/product/grands-echezeaux-maison-leroy-1959
HED89533;Massandra Red Port 1959;1959;75cl;17;Red;Ukraine;Ukraine;50;289;240.83;https://hedonism.co.uk/product/massandra-red-port-1959
HED54769;Latour 1959;1959;75cl;12.5;Red;France;Bordeaux;1;2000;1666.67;https://hedonism.co.uk/product/latour-1959
HED40357;Barolo Marchesi di Barolo 1959;1959;75cl;12;Red;Italy;Italy;12;80.1;66.75;https://hedonism.co.uk/product/barolo-marchesi-di-barolo-1959
HED36478;Hermitage La Chapelle Jaboulet Magnum 1959;1959;150cl;13;Red;France;Northern Rhone;1;10300;8583.33;https://hedonism.co.uk/product/hermitage-la-chapelle-jaboulet-magnum-1959
HED23199;Bodegas Monovar Fondillon 50cl 1959;1959;50cl;23;Red;Spain;Spain;2;612;510;https://hedonism.co.uk/product/bodegas-monovar-fondillon-50cl-1959
HED95391;Barbaresco Marchesi di Barolo 1959;1959;75cl;12.5;Red;Italy;Italy;2;132;110;https://hedonism.co.uk/product/barbaresco-marchesi-di-barolo-1959
HED24952;Haut Brion (Low Fill) 1959;1959;75cl;12.5;Red;France;Bordeaux;1;1410;1175;https://hedonism.co.uk/product/haut-brion-low-fill-1959
HED27015;Pichon Lalande 1959;1959;75cl;12.5;Red;France;Bordeaux;1;550;458.33;https://hedonism.co.uk/product/pichon-lalande-1959
HED97644;Lynch Bages 1959;1959;75cl;;Red;France;Bordeaux;1;650;541.67;https://hedonism.co.uk/product/lynch-bages-1959
HED98113;Beychevelle 1959;1959;75cl;12;Red;France;Bordeaux;1;550;458.33;https://hedonism.co.uk/product/beychevelle-1959
HED98260;Rauzan Gassies 1959;1959;75cl;;Red;France;Bordeaux;1;250;208.33;https://hedonism.co.uk/product/rauzan-gassies-1959
HED70674;Massandra Kokur 1959;1959;75cl;15.7;White;Ukraine;Ukraine;19;400;333.33;https://hedonism.co.uk/product/massandra-kokur-1959
HED98727;Salon 1959;1959;75cl;12;White;France;Champagne;1;8500;7083.33;https://hedonism.co.uk/product/salon-1959
HED98621;La Mission Haut Brion 1960;1960;75cl;12.5;Red;France;Bordeaux;1;500;416.67;https://hedonism.co.uk/product/la-mission-haut-brion-1960
HED69282;Pichon Baron (Mid Shoulder) 1961;1961;75cl;13.5;Red;France;Bordeaux;1;798;665;https://hedonism.co.uk/product/pichon-baron-mid-shoulder-1961
HED0325;Calon Segur 1961;1961;75cl;12.5;Red;France;Bordeaux;2;700;583.33;https://hedonism.co.uk/product/calon-segur-1961
HED0492;Latour (Mid-Shoulder) 1961;1961;75cl;12.5;Red;France;Bordeaux;2;4290;3575;https://hedonism.co.uk/product/latour-mid-shoulder-1961
HED69262;Beychevelle 1961;1961;75cl;12.5;Red;France;Bordeaux;4;500;416.67;https://hedonism.co.uk/product/beychevelle-1961
HED72933;Lafite Rothschild (Mid-Shoulder) 1961;1961;75cl;12.5;Red;France;Bordeaux;1;1800;1500;https://hedonism.co.uk/product/lafite-rothschild-mid-shoulder-1961
HED35275;Brane Cantenac 1961;1961;75cl;12.5;Red;France;Bordeaux;10;250;208.33;https://hedonism.co.uk/product/brane-cantenac-1961
HED35281;Beaulieu Vineyard Georges de Latour Private Reserve Cabernet Sauvignon 1961;1961;75cl;12.5;Red;United States;USA;2;432;360;https://hedonism.co.uk/product/beaulieu-vineyard-georges-de-latour-private-reserve-cabernet-sauvignon-1961
HED38430;Lascombes 1961;1961;75cl;11;Red;France;Bordeaux;1;772;643.33;https://hedonism.co.uk/product/lascombes-1961
HED39056;Barolo Giuseppe Rinaldi 1961;1961;75cl;13.5;Red;Italy;Italy;1;500;416.67;https://hedonism.co.uk/product/barolo-giuseppe-rinaldi-1961
HED91259;Giscours 1961;1961;75cl;11;Red;France;Bordeaux;2;500;416.67;https://hedonism.co.uk/product/giscours-1961
HED94201;Le Gay Magnum (Low Fill) 1961;1961;150cl;13;Red;France;Bordeaux;2;1660;1383.33;https://hedonism.co.uk/product/le-gay-magnum-low-fill-1961
HED94828;Clos Vougeot Charles Noellat 1961;1961;75cl;;Red;France;Burgundy;1;446;371.67;https://hedonism.co.uk/product/clos-vougeot-charles-noellat-1961
HED95411;Barolo Fontanafredda 1961;1961;75cl;13;Red;Italy;Italy;1;109;90.83;https://hedonism.co.uk/product/barolo-fontanafredda-1961
HED95431;Spanna Cinque Castelli Antonio Vallana 1961;1961;75cl;12;Red;Italy;Italy;9;119;99.17;https://hedonism.co.uk/product/spanna-cinque-castelli-antonio-vallana-1961
HED97240;Leoville Poyferre (Mid-Shoulder) 1961;1961;75cl;13;Red;France;Bordeaux;1;450;375;https://hedonism.co.uk/product/leoville-poyferre-mid-shoulder-1961
HED27016;Montrose 1961;1961;75cl;13.5;Red;France;Bordeaux;2;600;500;https://hedonism.co.uk/product/montrose-1961
HED98619;Barbaresco Riserva Speciale Bersano 1961;1961;75cl;13.5;Red;Italy;Italy;1;90;75;https://hedonism.co.uk/product/barbaresco-riserva-speciale-bersano-1961
HED65402;Lafite Rothschild 1962;1962;75cl;12.5;Red;France;Bordeaux;2;722;601.67;https://hedonism.co.uk/product/lafite-rothschild-1962
HED38422;Ducru Beaucaillou 1962;1962;75cl;11.7;Red;France;Bordeaux;1;450;375;https://hedonism.co.uk/product/ducru-beaucaillou-1962
HED39404;Latour 1962;1962;75cl;12;Red;France;Bordeaux;7;1050;875;https://hedonism.co.uk/product/latour-1962
HED94955;Coufran 1962;1962;75cl;13.4;Red;France;Bordeaux;3;92.8;77.33;https://hedonism.co.uk/product/coufran-1962
HED97827;Calon Segur 1962;1962;75cl;12.5;Red;France;Bordeaux;1;425;354.17;https://hedonism.co.uk/product/calon-segur-1962
HED27530;Lynch Bages 1962;1962;75cl;13;Red;France;Bordeaux;4;325;270.83;https://hedonism.co.uk/product/lynch-bages-1962
HED82268;Dom Perignon Oenotheque 1962;1962;75cl;12.5;White;France;Champagne;1;3350;2791.67;https://hedonism.co.uk/product/dom-perignon-oenotheque-1962
HED1993;Dow`s Vintage 1963;1963;75cl;20;Red;Portugal;Port ;4;275;229.17;https://hedonism.co.uk/product/dows-vintage-1963
HED24800;Fonseca Vintage (Damaged Label) 1963;1963;75cl;20;Red;Portugal;Port ;1;420;350;https://hedonism.co.uk/product/fonseca-vintage-damaged-label-1963
HED98122;Haut Brion 1963;1963;75cl;12;Red;France;Bordeaux;2;1800;1500;https://hedonism.co.uk/product/haut-brion-1963
HED70682;Massandra Pink Muscat 1963;1963;75cl;15.6;White;Ukraine;Ukraine;16;297;247.5;https://hedonism.co.uk/product/massandra-pink-muscat-1963
HED70676;Massandra Kokur 1963;1963;75cl;16.2;White;Ukraine;Ukraine;36;320;266.67;https://hedonism.co.uk/product/massandra-kokur-1963
HED61236;L`Evangile 1964;1964;75cl;13;Red;France;Bordeaux;1;325;270.83;https://hedonism.co.uk/product/levangile-1964
HED62838;Carruades de Lafite 1964;1964;75cl;12.5;Red;France;Bordeaux;5;265;220.83;https://hedonism.co.uk/product/carruades-de-lafite-1964-0
HED90176;Barolo Giacomo Conterno 1964;1964;72cl;13.5;Red;Italy;Italy;16;598;498.33;https://hedonism.co.uk/product/barolo-giacomo-conterno-1964-0
HED90871;La Tour Haut Brion 1964;1964;75cl;13;Red;France;Bordeaux;11;410;341.67;https://hedonism.co.uk/product/la-tour-haut-brion-1964
HED95432;Spanna Montalbano Antonio Vallana 1964;1964;75cl;13;Red;Italy;Italy;2;199;165.83;https://hedonism.co.uk/product/spanna-montalbano-antonio-vallana-1964
HED27527;Angelus 1964;1964;75cl;13;Red;France;Bordeaux;2;350;291.67;https://hedonism.co.uk/product/angelus-1964
HED70685;Massandra Red Port 1965;1965;75cl;17.6;Red;Ukraine;Ukraine;21;340;283.33;https://hedonism.co.uk/product/massandra-red-port-1965
HED7959;Lafite Rothschild 1965;1965;75cl;12.5;Red;France;Bordeaux;1;550;458.33;https://hedonism.co.uk/product/lafite-rothschild-1965
HED95687;Barolo Riserva Enrico Serafino 1965;1965;75cl;13;Red;Italy;Italy;15;53.3;44.42;https://hedonism.co.uk/product/barolo-riserva-enrico-serafino-1965
HED2275;Yquem 1965;1965;75cl;13;White;France;Sauternes & Barsac;1;775;645.83;https://hedonism.co.uk/product/yquem-1965
HED34825;Massandra Ai-Danil Pinot Gris 1965;1965;75cl;13;White;Ukraine;Ukraine;1;322;268.33;https://hedonism.co.uk/product/massandra-ai-danil-pinot-gris-1965
HED0493;Latour (Mid-Shoulder) 1966;1966;75cl;12.5;Red;France;Bordeaux;3;900;750;https://hedonism.co.uk/product/latour-mid-shoulder-1966
HED61565;Richebourg DRC (Low Fill) 1966;1966;75cl;13;Red;France;Burgundy;3;3250;2708.33;https://hedonism.co.uk/product/richebourg-drc-low-fill-1966
HED62107;Heitz Martha`s Vineyard Cabernet Sauvignon 1966;1966;75cl;13;Red;United States;USA;1;2620;2183.33;https://hedonism.co.uk/product/heitz-marthas-vineyard-cabernet-sauvignon-1966
HED74874;Graham`s Vintage 1966;1966;75cl;20;Red;Portugal;Port ;1;295;245.83;https://hedonism.co.uk/product/grahams-vintage-1966
HED83584;Kopke Colheita 1966;1966;75cl;20;Red;Portugal;Port ;6;222;185;https://hedonism.co.uk/product/kopke-colheita-1966
HED58906;Haut Brion Magnum (Mid-Shoulder) 1966;1966;150cl;13;Red;France;Bordeaux;1;1280;1066.67;https://hedonism.co.uk/product/haut-brion-magnum-mid-shoulder-1966
HED38421;Domaine de Chevalier 1966;1966;75cl;12;Red;France;Bordeaux;11;197;164.17;https://hedonism.co.uk/product/domaine-de-chevalier-1966
HED38434;Montrose 1966;1966;75cl;11.5;Red;France;Bordeaux;20;310;258.33;https://hedonism.co.uk/product/montrose-1966
HED23700;Lynch Moussas (Low Fill) 1966;1966;75cl;12.5;Red;France;Bordeaux;1;93.9;78.25;https://hedonism.co.uk/product/lynch-moussas-low-fill-1966
HED26968;Casa Ferreirinha Barca Velha (Damaged Label) 1966;1966;75cl;12;Red;Portugal;Portugal;1;650;541.67;https://hedonism.co.uk/product/casa-ferreirinha-barca-velha-damaged-label-1966
HED60210;Louis Roederer Cristal 1966;1966;75cl;12;White;France;Champagne;1;1020;850;https://hedonism.co.uk/product/louis-roederer-cristal-1966
HED2432;Heitz Martha`s Vineyard Cabernet Sauvignon 1967;1967;75cl;13;Red;United States;USA;1;653;544.17;https://hedonism.co.uk/product/heitz-marthas-vineyard-cabernet-sauvignon-1967
HED90533;Barolo Fontanafredda 1967;1967;75cl;13.5;Red;Italy;Italy;14;55;45.83;https://hedonism.co.uk/product/barolo-fontanafredda-1967
HED90539;Barolo Franco Fiorina 1967;1967;75cl;13;Red;Italy;Italy;10;135;112.5;https://hedonism.co.uk/product/barolo-franco-fiorina-1967
HED95678;Moulin a Vent Chevalier 1967;1967;75cl;13;Red;France;Burgundy;1;79.8;66.5;https://hedonism.co.uk/product/moulin-vent-chevalier-1967
HED97165;Barolo Bartolo Mascarello 1967;1967;75cl;13.5;Red;Italy;Italy;1;400;333.33;https://hedonism.co.uk/product/barolo-bartolo-mascarello-1967
HED9167;Yquem 1967;1967;75cl;12.5;White;France;Sauternes & Barsac;5;1500;1250;https://hedonism.co.uk/product/yquem-1967
HED34810;Massandra Kokur 1967;1967;75cl;15;White;Ukraine;Ukraine;14;272;226.67;https://hedonism.co.uk/product/massandra-kokur-1967
HED95348;De Fargues 1967;1967;75cl;12;White;France;Sauternes & Barsac;2;321;267.5;https://hedonism.co.uk/product/de-fargues-1967
HED98453;Chateau Musar Blanc 1967;1967;75cl;13;White;Lebanon;Lebanon;12;200;166.67;https://hedonism.co.uk/product/chateau-musar-blanc-1967
HED69487;Beaulieu Vineyard Georges de Latour Private Reserve Cabernet Sauvignon 1968;1968;75cl;12.5;Red;United States;USA;3;453;377.5;https://hedonism.co.uk/product/beaulieu-vineyard-georges-de-latour-private-reserve-cabernet-sauvignon-1968
HED09124;Castillo Ygay Logrono Gran Reserva 1968;1968;75cl;13;Red;Spain;Spain;1;700;583.33;https://hedonism.co.uk/product/castillo-ygay-logrono-gran-reserva-1968
HED69578;Amarone Classico Bertani 1968;1968;75cl;15;Red;Italy;Italy;1;358;298.33;https://hedonism.co.uk/product/amarone-classico-bertani-1968
